PTB;BAIRRO;Rota; lat ;long
379; CASTELINHO;https://www.google.pt/maps?q=-20.839483,-49.3603098;-20,839483;-49,3603098
381; SÃO MARCOS;https://www.google.pt/maps?q=-20.842979,-49.3590981;-20,842979;-49,3590981
382; CAETANO;https://www.google.pt/maps?q=-20.756129,-49.3893472;-20,756129;-49,3893472
383; NATO VETORAZZO;https://www.google.pt/maps?q=-20.756129,-49.3893472;-20,756129;-49,3893472
384; VILLAGE DAMHA RIO PRETO III;https://www.google.pt/maps?q=-20.792854,-49.4391114;-20,792854;-49,4391114
385; SETVALLEY III;https://www.google.pt/maps?q=-20.742932,-49.3331326;-20,742932;-49,3331326
386; SETVALLEY III;https://www.google.pt/maps?q=-20.741628,-49.3281987;-20,741628;-49,3281987
387; SETVALLEY III;https://www.google.pt/maps?q=-20.744961,-49.3256021;-20,744961;-49,3256021
389; RESIDENCIAL FRATERNIDADE II;https://www.google.pt/maps?q=-20.874835,-49.3335248;-20,874835;-49,3335248
391; NUNES;https://www.google.pt/maps?q=-20.752311,-49.3858056;-20,752311;-49,3858056
392; NUNES;https://www.google.pt/maps?q=-20.754223,-49.3939451;-20,754223;-49,3939451
393; ROMANO CALIL;https://www.google.pt/maps?q=-20.827335,-49.351083;-20,827335;-49,351083
395; VL FLORA;https://www.google.pt/maps?q=-20.786211,-49.3465122;-20,786211;-49,3465122
397; EGYDIO ZANI;https://www.google.pt/maps?q=-20.71828,-49.3849233;-20,71828;-49,3849233
398; EGYDIO ZANI;https://www.google.pt/maps?q=-20.720181,-49.3791247;-20,720181;-49,3791247
399; EGYDIO ZANI;https://www.google.pt/maps?q=-20.72439602,-49.37826253;-20,72439602;-49,37826253
400; EGYDIO ZANI;https://www.google.pt/maps?q=-20.727379,-49.3770585;-20,727379;-49,3770585
401; CAETANO;https://www.google.pt/maps?q=-20.75475369,-49.3917977;-20,75475369;-49,3917977
402; RESIDENCIAL MIRANTE;https://www.google.pt/maps?q=-20.784149,-49.44349;-20,784149;-49,44349
404; MAISPARQUE RIO PRETO;https://www.google.pt/maps?q=-20.760982,-49.341879;-20,760982;-49,341879
405; MAISPARQUE RIO PRETO;https://www.google.pt/maps?q=-20.763273,-49.344483;-20,763273;-49,344483
407; EDSON BAFFI;https://www.google.pt/maps?q=-20.758006,-49.445241;-20,758006;-49,445241
