DEMANDA *;DES_SOLICITACAO;COD_ABRANGENCIA;DES_ABRANGENCIA;COD_ELEMENTO;DES_ELEMENTO;COD_CONSUMIDOR;DES_ENDERECO;NOM_BAIRRO;COD_EQUIPE;DES_EQUIPE;DES_EQUIPE_EXEC;COD_SITUACAO;DES_SITUACAO;DES_ANDAMENTO_EXEC;COD_OCORRENCIA;DES_OCORRENCIA;DAT_INICIO;DAT_VENCIMENTO;DES_USUARIO;DES_RISCO;FLG_CONFERIDA;DES_INSTRUCAO;DES_OBSERVACAO_RETAGUARDA;DAT_ATUALIZACAO;
2156049;1 / ELÉTRICA - CORRETIVA;41;MARIA LÚCIA;1;GERAL;<Null>;SADE MADLUN,  - ENFRENTE AO Nº 1180;JARDIM MARIA LÚCIA;5;Elétrica;56 Vector - Equipe Elétrica - Lucas / Jailson;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;23/05/2024 10:45;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário.;"-Deslocamento até demanda.
-Foi realizado a substituição de lâmpada bulbo Led 9w.

MATERIAL VECTOR:
-1 LAMPADA BULBO 9W.";07/08/2024 00:00;
2156052;1 / ELÉTRICA - CORRETIVA;35;MORUMBI;1;GERAL;<Null>;DOUTOR RAUL SILVA,  - ESQ C/ EZEQUIEL PINTO;JARDIM MORUMBI;5;Elétrica;56 Vector - Equipe Elétrica - Alex Rocha / Luis Fernando;21;EM CAMPO;<Null>;<Null>;<Null>;23/05/2024 10:47;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário.;<Null>;07/08/2024 08:00;
2156055;1 / ELÉTRICA - CORRETIVA;111;NOVA ESPERANÇA;1;GERAL;<Null>;BENEDITO SANTORO, S/N - ESQ. C/  MARCELO A. CAVALINI;PARQUE NOVA ESPERANÇA;5;Elétrica;56 Vector - Equipe Elétrica - Lucas / Jailson;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;23/05/2024 10:48;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário.;"A equipe se deslocou até o local da demanda.
Foi realizado a  troca da base fotocelulas e também foi trocado o  Relé fotocelulas.
MATERIAL VECTOR. 
1 base fotocelulas. 
1 Relé fotocelulas 
1 lâmpada bulbo 
fita isolante.
";07/08/2024 00:00;
2156057;1 / ELÉTRICA - CORRETIVA;113;NUCLEO ESPERANÇA BELA VISTA/ALVORADA;1;GERAL;<Null>;JOSÉ DOMINGUES NETTO, 3500 - PROX. AO LOT. BELA VISTA;ZONA RURAL;5;Elétrica;56 Vector - Equipe Elétrica - José / Willian;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO, DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;23/05/2024 10:49;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário.;"Demanda realizada na demanda 2155868, essa demanda vai ser feita na vila azul conforme orientação do fiscal Massao, equipe chegou no local para retirar a lâmpada e efetuar a troca conforme demanda. vimos também que estava sem o copo de proteção da luz piloto então usamos o que retiramos da demanda do higienopolis e usamos conforme as fotos foi necessário colocar um soquete novo pois o antigo estava oxidado.

material semae 
1 soquete e 27
1 lâmpada 15w

1 copo de proteção para a luz piloto retirado do higienopolis. ";07/08/2024 00:00;
2156059;1 / ELÉTRICA - CORRETIVA;114;NUCLEO ESPERANÇA FELICIDADE(BOSQ. VERDE);1;GERAL;<Null>;PASTOR DOUTOR JOSÉ PEROZIN, 250;ESTÂNCIA BOSQUE VERDE;5;Elétrica;56 Vector - Equipe Elétrica - Alex Rocha / Luis Fernando;39;SUSPENSA;<Null>;<Null>;<Null>;23/05/2024 10:51;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário.;<Null>;07/08/2024 08:00;
2156072;1 / ELÉTRICA - CORRETIVA;122;RESIDENCIAL RECANTO DO LAGO;1;GERAL;<Null>;CECCONI E GEROSA, 200;LOTEAMENTO RECANTO DO LAGO;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;23/05/2024 10:56;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156073;1 / ELÉTRICA - CORRETIVA;99;SANTA ANA;1;GERAL;<Null>;DOUTOR WILSON MARCELINO DE PAULA, ;RESIDENCIAL SANTA ANA;5;Elétrica;56 Vector - Equipe Elétrica - Alex Rocha / Luis Fernando;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;23/05/2024 10:57;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;"Chegamos ao local, separamos o material necessário para o trabalho.
Iniciamos subida ao reservatório, chegando ao topo verificamos que o problema estava nos cabos, estavam partido até o fotocélula.
Realizamos a substituição de todos os componentes.
Testados, tudo OK.

Materiais Vector
1 lâmpada bulbo Led E27 9W 
1 base relé fotocélula
1 relé fotocélula
1 fita isolante";07/08/2024 00:00;
2156078;1 / ELÉTRICA - CORRETIVA;90;SANTA FILOMENA;1;GERAL;<Null>;RAFAEL PEREIRA, 90 - ANTIGA 4;RESIDENCIAL SANTA FILOMENA;5;Elétrica;56 Vector - Equipe Elétrica - Marcelo B / Adriel;21;EM CAMPO;<Null>;<Null>;<Null>;23/05/2024 11:00;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156081;1 / ELÉTRICA - CORRETIVA;176;SETPARQUE HORIZONTE;1;GERAL;<Null>;REGINALDO PERPETUO RAIMUNDO SALGADO, 1779;SETPARQUE HORIZONTE;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;23/05/2024 11:02;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156094;1 / ELÉTRICA - CORRETIVA;40;TALHADOS;1;GERAL;<Null>;CAPITÃO DELMINO, S/N - PRÓX. A EZEQUIEL PINTO;DISTRITO TALHADO;5;Elétrica;56 Vector - Equipe Elétrica - Marcelo B / Adriel;21;EM CAMPO;<Null>;<Null>;<Null>;23/05/2024 11:15;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
